tweet,clean_tweet,sentiment
"Perbatasan Langkat, sekitar 25 km. Rumah pribadi Bupati ini sekitar 60 km. https://t.co/cJnUDuttxK",perbatasan langkat  sekitar  km  rumah pribadi bupati ini sekitar  km  ,Neutral
"Heboh Bupati Langkat Punya Penjara Manusia Dirumahnya, Susi Pudjiastuti 'Kejam dan Tak Berprikemanusiaan'… https://t.co/IQmcPZGlWV",heboh bupati langkat punya penjara manusia dirumahnya  susi pudjiastuti  kejam dan tak berprikemanusiaan  ,Negative
"https://t.co/INBtmB33rw

Kalimantan SELALU ADA SELALU BISA Bupati Langkat Jerome Sore Taekook
Singapura
Dayak
Edy M… https://t.co/9fh8DJjHaR",  kalimantan selalu ada selalu bisa bupati langkat jerome sore taekook singapura dayak edy m ,Positive
"Temuan Mengejutkan di Rumah Bupati Langkat, Ada Kerangkeng Manusia hingga Hewan yang Dilindungi
 
https://t.co/FhvqmD9n5o lewat @tribunnews",temuan mengejutkan di rumah bupati langkat  ada kerangkeng manusia hingga hewan yang dilindungi    lewat ,Positive
"@fullmoonfolks Selain miara manusia, doi juga koleksi satwa langka

https://t.co/cmJz9fMrHa", selain miara manusia  doi juga koleksi satwa langka  ,Neutral
"Geisz Sindir Keras Giring DO, Kerangkeng Manusia Bupati Langkat https://t.co/dkALQBJlH5",geisz sindir keras giring do  kerangkeng manusia bupati langkat ,Negative
Pengawas Kerangkeng Manusia di Rumah Bupati Langkat Beri Pengakuan Mengejutkan https://t.co/J3pg3LhQf6 https://t.co/bhtirnohzu,pengawas kerangkeng manusia di rumah bupati langkat beri pengakuan mengejutkan  ,Neutral
"@alisyarief Ooo
Kl bupati boleh bikin sel tahanan sendiri ya? @jokowi @Kiyai_MarufAmin
https://t.co/xCM4mUpkht", ooo kl bupati boleh bikin sel tahanan sendiri ya    ,Negative
@KompasTV Yang punya duit kaya si Bupati Langkat bisa bikin sel tahanan pribadi dan beralasan bikin program Rehabil… https://t.co/RdJ9FDdPSX, yang punya duit kaya si bupati langkat bisa bikin sel tahanan pribadi dan beralasan bikin program rehabil ,Neutral
Kemendagri dan KSP Dukung Polisi Usut Kerangkeng Manusia di Rumah Bupati Langkat https://t.co/VDOFBXBZWq,kemendagri dan ksp dukung polisi usut kerangkeng manusia di rumah bupati langkat ,Neutral
Kerangkeng Manusia di Rumah Bupati Langkat Berpotensi Tak Cuma Eksploitasi https://t.co/X2HpfMH610,kerangkeng manusia di rumah bupati langkat berpotensi tak cuma eksploitasi ,Negative
"Kesaksian Penghuni Kerangkeng di Rumah Bupati Langkat Nonaktif, “Kami Nyaman”
https://t.co/3n7P173qfC https://t.co/1LTgIRGtXh",kesaksian penghuni kerangkeng di rumah bupati langkat nonaktif  kami nyaman  ,Positive
"Bukan untuk Perbudakan Manusia, Terungkap Alasan Mengapa Ada Kerangkeng di Kediaman Bupati Langkat https://t.co/YFAA0M0ZkP",bukan untuk perbudakan manusia  terungkap alasan mengapa ada kerangkeng di kediaman bupati langkat ,Positive
"Seorang warga yang berada di dalam kerangkeng Rumah Bupati Langkat, menceritakan saat dia berada di dalam kerangken… https://t.co/xWj3yk5o5z",seorang warga yang berada di dalam kerangkeng rumah bupati langkat  menceritakan saat dia berada di dalam kerangken ,Neutral
"Usai Kerangkeng Manusia, Ditemukan Satwa Dilindungi Ini di Rumah Bupati Langkat
https://t.co/uQtf85oUP9 https://t.co/uYFFOkQW1g",usai kerangkeng manusia  ditemukan satwa dilindungi ini di rumah bupati langkat  ,Positive
Fakta-fakta soal penemuan kerangkeng manusia di rumah Bupati Langkat. Seperti apa kejadiannya? https://t.co/rKxfpMfSjR,fakta fakta soal penemuan kerangkeng manusia di rumah bupati langkat  seperti apa kejadiannya  ,Positive
@AREAJULID Bupati Langkat nya gantian lah suruh jadi budak    kalau cuma tahanan mah kecil buat dia    jadi tahanan… https://t.co/MKpcM5X5b3, bupati langkat nya gantian lah suruh jadi budak    kalau cuma tahanan mah kecil buat dia    jadi tahanan ,Negative
"Kerangkeng Besi Bupati Langkat yang ditangkap KPK itu, mungkinkah model perbudakan masih terjadi tanpa kita ketahui… https://t.co/qztCTHDL5D",kerangkeng besi bupati langkat yang ditangkap kpk itu  mungkinkah model perbudakan masih terjadi tanpa kita ketahui ,Negative
Fitri Salhuteru tanggapi penemuan kerangkeng manusia di rumah Bupati Langkat: Itu biadab banget https://t.co/h2DsuK68XR,fitri salhuteru tanggapi penemuan kerangkeng manusia di rumah bupati langkat  itu biadab banget ,Negative
"@okkymadasari Dalam kasus KERANGKENG MANUSIA, di kediaman Bupati langkat, jalas @DivHumas_Polri kecolongan, apapun… https://t.co/4QznA97CRZ", dalam kasus kerangkeng manusia  di kediaman bupati langkat  jalas  kecolongan  apapun ,Negative
"Polisi @DivHumas_Polri dan Komnas HAM @komnasHAM harus mengawal kasus ini. Jika ini dibiarkan, maka di masa depan a… https://t.co/IXvy59wHmV",polisi  dan komnas ham  harus mengawal kasus ini  jika ini dibiarkan  maka di masa depan a ,Negative
KPK Siap Bantu Kepolisian Soal Penemuan Kerangkeng Manusia di Rumah Bupati Langkat Nonaktif https://t.co/HUNZzSvIVk… https://t.co/aDAmWsoLYL,kpk siap bantu kepolisian soal penemuan kerangkeng manusia di rumah bupati langkat nonaktif  ,Positive
Migrant Care: Sederet Perbudakan dalam Kerengkeng Manusia Milik Bupati Langkat https://t.co/cuXRKcYVZi… https://t.co/ScOTbNmXxX,migrant care  sederet perbudakan dalam kerengkeng manusia milik bupati langkat  ,Neutral
"Bupati Langkat yang korupsi dan sadis dalam pembudakan, partainya Golkar ya gais. Partai pendukungnya juga cari aja… https://t.co/0ewGJRXqHg",bupati langkat yang korupsi dan sadis dalam pembudakan  partainya golkar ya gais  partai pendukungnya juga cari aja ,Negative
"@Mardanputranya @HanjenifD Hrsnya kan pekerja dpt gaji dr jerih upayanya itu, eh ini malah Org2 itu dikurung dlm se… https://t.co/qgKasGFVzq",  hrsnya kan pekerja dpt gaji dr jerih upayanya itu  eh ini malah  itu dikurung dlm se ,Negative
"Politikus Golkar Minta Masyarakat Tidak Mencari-cari Kesalahan Kerangkeng Tempat Pembinaan Narkotika Bupati Langkat
 https://t.co/BEqgc5ad5g",politikus golkar minta masyarakat tidak mencari cari kesalahan kerangkeng tempat pembinaan narkotika bupati langkat  ,Negative
Bupati langkat ini gaa mati aja,bupati langkat ini gaa mati aja,Neutral
Bupati Langkat Bangsat,bupati langkat bangsat,Negative
"Pengakuan Warga Dikerangkeng di Rumah Bupati Langkat, Masuk Kurus Pas Keluar Jadi Gemuk, Ini Ceritanya… https://t.co/NsvVWUjOgQ",pengakuan warga dikerangkeng di rumah bupati langkat  masuk kurus pas keluar jadi gemuk  ini ceritanya ,Negative
Polisi terus mendalami keberadaan kerangkeng manusia di rumah Bupati nonaktif Langkat. Kerangkeng itu disebut menja… https://t.co/tL608hJNMT,polisi terus mendalami keberadaan kerangkeng manusia di rumah bupati nonaktif langkat  kerangkeng itu disebut menja ,Neutral
Bu Susi 'Ngegas' Gegara Orang di Kerangkeng Bupati Langkat Disebut Warga Binaan https://t.co/NOW6uyXRTN https://t.co/lg90rX3fdg,bu susi  ngegas  gegara orang di kerangkeng bupati langkat disebut warga binaan  ,Neutral
Mandi bola bupati langkat https://t.co/y2nd3gPoBX,mandi bola bupati langkat ,Neutral
Coba tonton film @Jagal / @TheActofKilling untuk paham kenapa ada orang seperti bupati Langkat Terbit Rencana.,coba tonton film     untuk paham kenapa ada orang seperti bupati langkat terbit rencana ,Neutral
Anak mantu bupati langkat emang gatau ya bapaknya kayak gitu? Serem banget,anak mantu bupati langkat emang gatau ya bapaknya kayak gitu  serem banget,Negative
"Bupati Langkat 
Kader tentara oyen ? 😱
.
.
☕☕☕ https://t.co/pAVkm7kLKm",bupati langkat  kader tentara oyen         ,Neutral
@msaid_didu Radikal itu sprti bupati langkat yg ada penjara di rumah nya.., radikal itu sprti bupati langkat yg ada penjara di rumah nya  ,Negative
"Deputi V KSP Jaleswari Pramowardhani mengutuk perilaku bupati Langkat nonaktif, Terbit Rencana Perangin Angin terka… https://t.co/ekLr0TXf3b",deputi v ksp jaleswari pramowardhani mengutuk perilaku bupati langkat nonaktif  terbit rencana perangin angin terka ,Negative
banyak yg salah kaprah ya. pada bilang klo polisi belain si bupati langkat ini. padaham cuma menjelaskan apa adanya… https://t.co/zQXh2BFKvb,banyak yg salah kaprah ya  pada bilang klo polisi belain si bupati langkat ini  padaham cuma menjelaskan apa adanya ,Negative
KSP Kutuk Keras Dugaan Perbudakan oleh Bupati Langkat https://t.co/KmTfabvOUr,ksp kutuk keras dugaan perbudakan oleh bupati langkat ,Negative
Fitri Salhuteru tanggapi penemuan kerangkeng manusia di rumah Bupati Langkat: Itu biadab banget https://t.co/DJlu6zQQtj,fitri salhuteru tanggapi penemuan kerangkeng manusia di rumah bupati langkat  itu biadab banget ,Negative
Ini duduk soal ruangan mirip penjara di rumah pribadi Bupati Langkat yang tertangkap tangan KPK. #adadikompas ⁦… https://t.co/3H6wMMuJSX,ini duduk soal ruangan mirip penjara di rumah pribadi bupati langkat yang tertangkap tangan kpk   adadikompas ⁦ ,Negative
"Kontras Pertanyakan Sikap BNN Langkat yang Seakan Biarkan Kerangkeng Manusia di Rumah Bupati

https://t.co/A3VoV7Icy7
..",kontras pertanyakan sikap bnn langkat yang seakan biarkan kerangkeng manusia di rumah bupati     ,Neutral
@luckiestzel sebenernya sih tujuan twit ginian biar nunjukin aja hasil google translate tapi biar hype pake tema Bu… https://t.co/hmSuSS6LFD, sebenernya sih tujuan twit ginian biar nunjukin aja hasil google translate tapi biar hype pake tema bu ,Neutral
Kemendagri Dukung Polisi Usut Kerangkeng Manusia Bupati Langkat https://t.co/3RFaMXZ2c8,kemendagri dukung polisi usut kerangkeng manusia bupati langkat ,Neutral
"Sosok Tiorita, Istri Bupati Langkat, Disebut Urus Makanan Tahanan di Penjara Manusia Milik Suami https://t.co/0oWwVrtCD9 via @tribunnews",sosok tiorita  istri bupati langkat  disebut urus makanan tahanan di penjara manusia milik suami  via ,Negative
Bupati Langkat nonaktif Terbit Rencana Perangin-angin memiliki sel kerangkeng di rumahnya yang berisi puluhan orang. https://t.co/JhGHv7lZfR,bupati langkat nonaktif terbit rencana perangin angin memiliki sel kerangkeng di rumahnya yang berisi puluhan orang  ,Neutral
"Konon Kerangkeng di Rumah Bupati Langkat untuk Rehab Narkoba, kok Penghuninya seperti habis disiksa? https://t.co/oqIlUcFTkK",konon kerangkeng di rumah bupati langkat untuk rehab narkoba  kok penghuninya seperti habis disiksa  ,Negative
Hukum mati..  https://t.co/CE14kmTk2u,hukum mati    ,Neutral
Amnesty International Desak Polisi Usut Semua Aktor Dugaan Perbudakan di Perkebunan Sawit Bupati Langkat https://t.co/comVr1trB3,amnesty international desak polisi usut semua aktor dugaan perbudakan di perkebunan sawit bupati langkat ,Negative
"Tak Hanya Penjara Manusia, Ada Pula Orangutan dan Hewan Dilindungi Lainnya di Rumah Bupati Langkat https://t.co/E0LFDJpv9U via @tribunnews",tak hanya penjara manusia  ada pula orangutan dan hewan dilindungi lainnya di rumah bupati langkat  via ,Neutral
"Begitu dahsyat pengaruh Oligarki, tidak hanya mengoyak hubungan antar sesama manusia, tapi juga merampas sumber day… https://t.co/eQea6kcsvx",begitu dahsyat pengaruh oligarki  tidak hanya mengoyak hubungan antar sesama manusia  tapi juga merampas sumber day ,Negative
Presiden juga harus mengevaluasi jajarannya https://t.co/nueSy5nZvC,presiden juga harus mengevaluasi jajarannya ,Neutral
"Polisi Diadang Warga saat Proses Evakuasi Orang yang Dikerangkeng di Rumah Bupati Langkat
 
https://t.co/3BkYwiYY3v via @tribunnews",polisi diadang warga saat proses evakuasi orang yang dikerangkeng di rumah bupati langkat    via ,Negative
"Fakta Kerangkeng Manusia di Rumah Bupati Langkat, Dibangun 2012 Atas Inisiatif Terbit Rencana… https://t.co/04YIqkCQOz",fakta kerangkeng manusia di rumah bupati langkat  dibangun  atas inisiatif terbit rencana ,Positive
"@UdhaKayuno @Jaka_nur_ @Nicho_Silalahi @susipudjiastuti Lebih percaya kata dia ato bnn? 

https://t.co/RF5RPU8Fo9",    lebih percaya kata dia ato bnn    ,Positive
"@mei_peseek Kok bisa ada sel????. Emg pk pol gak tau??. 
Bupati langkat dari partai mana? 
Pekerja sawit perusahaan punya siapa?", kok bisa ada sel      emg pk pol gak tau     bupati langkat dari partai mana   pekerja sawit perusahaan punya siapa ,Neutral
Hitler dikubur di rumah bupati langkat.,hitler dikubur di rumah bupati langkat ,Neutral
"Derita Pekerja yang Dikerangkeng Bupati Langkat, Ada Kolam Penyiksaan https://t.co/JKwgdYasLA",derita pekerja yang dikerangkeng bupati langkat  ada kolam penyiksaan ,Negative
"@susipudjiastuti Kalau emang beneran rehabilitasi knapa tidak memiliki izin, bnn juga bilang itu tidak memenuhi sya… https://t.co/X1zZF2qCH5", kalau emang beneran rehabilitasi knapa tidak memiliki izin  bnn juga bilang itu tidak memenuhi sya ,Positive
"@handri_chaniago @Nicho_Silalahi @susipudjiastuti Kalau emang beneran rehabilitasi knapa tidak memiliki izin, bnn j… https://t.co/P3kI2o4Ou7",   kalau emang beneran rehabilitasi knapa tidak memiliki izin  bnn j ,Neutral
"Lelaki seperti ini adalah idaman para wanita 

Edy Mulyadi Bupati Langkat Kalimantan Photocard Vlahovic https://t.co/iQEaiIdRkY",lelaki seperti ini adalah idaman para wanita   edy mulyadi bupati langkat kalimantan photocard vlahovic ,Neutral
@gulfiemommy Bupati langkat apa ya kalo tidak salah? Parah sih dijaman modern ini dan berlangsung udah lama. Gue de… https://t.co/IynNn5zz4r, bupati langkat apa ya kalo tidak salah  parah sih dijaman modern ini dan berlangsung udah lama  gue de ,Negative
"#KomisiAndaElshinta: Apa yang harus dilakukan untuk mengusut tuntas apa yg sebenarnya dilakukan Bupati Langkat, ter… https://t.co/wYSuTTZMOk", komisiandaelshinta  apa yang harus dilakukan untuk mengusut tuntas apa yg sebenarnya dilakukan bupati langkat  ter ,Positive
anying ga abis pikir haechan trending grgr fansnya anak bupati langkat,anying ga abis pikir haechan trending grgr fansnya anak bupati langkat,Neutral
Siapa yang mau punya bapak kaya bupati langkat?,siapa yang mau punya bapak kaya bupati langkat ,Neutral
Polda Sumut Tes Urine Penghuni Kerangkeng di Rumah Bupati Langkat https://t.co/fH0X844QSY,polda sumut tes urine penghuni kerangkeng di rumah bupati langkat ,Neutral
"Saya masih berpikir dia manusia apa bukan sihh..!!!

Ada Kerangkeng Manusia di Rumah Bupati Langkat, Legislator PAN… https://t.co/rreYnH8PeF",saya masih berpikir dia manusia apa bukan sihh       ada kerangkeng manusia di rumah bupati langkat  legislator pan ,Neutral
"Cerita Warga yang Pernah Dikerangkeng di Rumah Bupati Langkat: Masuk Kurus, Keluar Gemuk https://t.co/8eTx70elX7",cerita warga yang pernah dikerangkeng di rumah bupati langkat  masuk kurus  keluar gemuk ,Negative
"Ada sel tahanan di rumah Bupati Langkat, apa nggak salah tuh? Waduh itu Bupati sdh korupsi, tdk berperi kemanusiaan… https://t.co/GsJOzYyJvy",ada sel tahanan di rumah bupati langkat  apa nggak salah tuh  waduh itu bupati sdh korupsi  tdk berperi kemanusiaan ,Negative
"(((Warga binaan)))

Bekingannya bupati Langkat ini siapa daaah? https://t.co/7KQLOadDUK",   warga binaan     bekingannya bupati langkat ini siapa daaah  ,Neutral
"""Kunjungan keluarga nggak sembarangan,"" kata Fredi setelah dibawa dari kerangkeng ke Kantor Camat Kuala, Langkat. https://t.co/oXBpTgdnzi", kunjungan keluarga nggak sembarangan   kata fredi setelah dibawa dari kerangkeng ke kantor camat kuala  langkat  ,Negative
"Kerja punya, gaji gede, rumah punya, kendaraan punya. Trus apalagi yg kurang? 
Lu gemuk🤣
Bupati Langkat #TangkapEdyKadrun #IKNProyekOligarki",kerja punya  gaji gede  rumah punya  kendaraan punya  trus apalagi yg kurang   lu gemuk bupati langkat  tangkapedykadrun  iknproyekoligarki,Positive
"@KompasTV Sesusah-susahnya jadi warga Republik Rakyat Rawalele, sepertinya lebih susah jadi warga binaan Bupati Langkat", sesusah susahnya jadi warga republik rakyat rawalele  sepertinya lebih susah jadi warga binaan bupati langkat,Negative
Zaskia Mecca dan Hanung Bramantyo Kecam Bupati Langkat yang Kerangkeng Pekerjanya: Nyata Nggak Cuma di Film… https://t.co/ILnjVPcKNF,zaskia mecca dan hanung bramantyo kecam bupati langkat yang kerangkeng pekerjanya  nyata nggak cuma di film ,Negative
"Kerangkeng Isi Manusia, Golkar Akan Cek Langsung Rumah Bupati Langkat Terbit Rencana Perangin Angin https://t.co/yrsg7c5hxX",kerangkeng isi manusia  golkar akan cek langsung rumah bupati langkat terbit rencana perangin angin ,Neutral
"ASN di Ketapang Kalimantan Barat protes kepada bupati. Aksi bom molotov menggiringnya ke tahanan polres☑️

Bupati… https://t.co/CHyWgQ2q3R",asn di ketapang kalimantan barat protes kepada bupati  aksi bom molotov menggiringnya ke tahanan polres  bupati ,Negative
Serem bgt bupati langkat ultahnya sama kaya gue😔,serem bgt bupati langkat ultahnya sama kaya gue,Neutral
"@KompasTV Bupati langkat ini kalau di spongebob kayak ""hidup seperti larry""", bupati langkat ini kalau di spongebob kayak  hidup seperti larry ,Positive
"Ditemukan Kerangkeng Manusia di Rumah Bupati Langkat, Ini Kata Komnas HAM https://t.co/eFosxF2U5R https://t.co/rg6lMPpcbG",ditemukan kerangkeng manusia di rumah bupati langkat  ini kata komnas ham  ,Neutral
"@NyaiiBubu Pasti ada trauma brt orang2 yg di kerangkeng tsb.
.
Sgt dimungkinkan terjadi penyiksaan fisik &amp; mental y… https://t.co/C6RIzkRh8B", pasti ada trauma brt  yg di kerangkeng tsb    sgt dimungkinkan terjadi penyiksaan fisik  amp  mental y ,Negative
"Soal 'Perbudakan' Bupati Langkat, Warga Sebut Bukan Tempat Penyiksaan : Kami Mohon Pak...: Soal perbudakan yang did… https://t.co/VHx0ZMHaW8",soal  perbudakan  bupati langkat  warga sebut bukan tempat penyiksaan   kami mohon pak     soal perbudakan yang did ,Negative
"Selain Kerangkeng Manusia, Ditemukan Orangutan dan Hewan Dilindungi Lainnya di Rumah Bupati Langkat ... https://t.co/uHOFsbmBqZ",selain kerangkeng manusia  ditemukan orangutan dan hewan dilindungi lainnya di rumah bupati langkat     ,Positive
Mendingan bupati langkat dibebasin dijadiin duta cell,mendingan bupati langkat dibebasin dijadiin duta cell,Neutral
ICJR Minta Kasus Kerangkeng Manusia di Rumah Bupati Langkat Diusut https://t.co/3BzqsZQOKJ,icjr minta kasus kerangkeng manusia di rumah bupati langkat diusut ,Negative
Masih banyak pemuda - pemudi menjadi budak atas perasaannya setara dengan perbudakan yang dilakukan Bupati Langkat.,masih banyak pemuda   pemudi menjadi budak atas perasaannya setara dengan perbudakan yang dilakukan bupati langkat ,Positive
"Respons ‘Perbudakan’ Bupati Langkat, Watchdoc Tunjukkan Penderitaan Buruh Sawit Lewat Film Asimetris… https://t.co/AKvgn5f3Wz",respons perbudakan bupati langkat  watchdoc tunjukkan penderitaan buruh sawit lewat film asimetris ,Neutral
"@hhruw Mjb ya, maaf banget tapi si ayu anak bupati langkat juga army kalau liat dari video youtube ultahnya 🤣
https://t.co/AYREWj72LY", mjb ya  maaf banget tapi si ayu anak bupati langkat juga army kalau liat dari video youtube ultahnya  ,Positive
gw beneran ngarepin kasus bupati langkat ngga ada yg ditutupin atau sampe dialihin isunya asliiii gemes batttt si paling bupati sejagat,gw beneran ngarepin kasus bupati langkat ngga ada yg ditutupin atau sampe dialihin isunya asliiii gemes batttt si paling bupati sejagat,Negative
"Ngeliat bupati langkat jd inget Akame ngebantai satu keluarga borjuis yg nyiksa &amp; menjarain org miskin, bedanya dib… https://t.co/u8XN6BhPXH",ngeliat bupati langkat jd inget akame ngebantai satu keluarga borjuis yg nyiksa  amp  menjarain org miskin  bedanya dib ,Negative
"Bupati Langkat nonaktif, Terbit Rencana Perangin-Angin, pernah mengurung puluhan orang di belakang rumahnya. Melang… https://t.co/slPoFuOMiB",bupati langkat nonaktif  terbit rencana perangin angin  pernah mengurung puluhan orang di belakang rumahnya  melang ,Neutral
ICJR Minta Kasus Kerangkeng Manusia di Rumah Bupati Langkat Diusut https://t.co/yMR3Um65C5,icjr minta kasus kerangkeng manusia di rumah bupati langkat diusut ,Negative
BNN Langkat pernah mendatangi lokasi kerangkeng pencandu narkoba di rumah pribadi Bupati Langkat pada 2017. Meski t… https://t.co/SuuO8JrFBc,bnn langkat pernah mendatangi lokasi kerangkeng pencandu narkoba di rumah pribadi bupati langkat pada   meski t ,Negative
Komnas mengirim tim ke rumah Bupati Langkat untuk menyelidiki kasus perbudakan modern di sana. Rehabilitasi di ruma… https://t.co/91V316QkJw,komnas mengirim tim ke rumah bupati langkat untuk menyelidiki kasus perbudakan modern di sana  rehabilitasi di ruma ,Negative
"BNN akan melakukan asesmen terhadap puluhan warga yang dikurung di krangkeng rumah Bupati Langkat, apakah positif n… https://t.co/bA2ekkiRmu",bnn akan melakukan asesmen terhadap puluhan warga yang dikurung di krangkeng rumah bupati langkat  apakah positif n ,Neutral
"@imamadha_ @IstriNgeselin @BudiAri2 @mei_peseek WIKIPEDIA gak bisa dijadikan acuan bro..

coba cek ini… https://t.co/zBVXFRhA2v",    wikipedia gak bisa dijadikan acuan bro    coba cek ini ,Positive
Polda Sumut terus menyelidiki soal puluhan orang yang ditemukan dikerangkeng di rumah Bupati Langkat. Polisi mengun… https://t.co/Wzlf1ZYbSH,polda sumut terus menyelidiki soal puluhan orang yang ditemukan dikerangkeng di rumah bupati langkat  polisi mengun ,Negative
"@ernestprakasa Itu daerah tempat tinggal saya, Kab Langkat bupati yg kemarin di OTT KPK 🥲🥲🥲 YA allah manusia jdi tahanan pribadi", itu daerah tempat tinggal saya  kab langkat bupati yg kemarin di ott kpk  ya allah manusia jdi tahanan pribadi,Negative
Ternyata Ruangan Mirip Sel Tahanan di Rumah Bupati Langkat Pernah Jadi Konten YouTube Diskominfo… https://t.co/DyR3Jo14E3,ternyata ruangan mirip sel tahanan di rumah bupati langkat pernah jadi konten youtube diskominfo ,Negative
@KSPgoid BISA MENANYAKAN KE @polisisumut  KERANGKENG MANUSIA DI RUMAH BUPATI LANGKAT ITU PERBUDAKAN ATAU REHABILITA… https://t.co/eJMISgMHzG, bisa menanyakan ke   kerangkeng manusia di rumah bupati langkat itu perbudakan atau rehabilita ,Positive
Mari Kita Basmi keluarga Bupati Langkat Sumatera Utara https://t.co/ZIq9kUsYDw,mari kita basmi keluarga bupati langkat sumatera utara ,Neutral
Plt. Bupati Langkat Syah Afandin Silaturahmi ke Kapolres Langkat https://t.co/ndZtgS1Xoy,plt  bupati langkat syah afandin silaturahmi ke kapolres langkat ,Positive
"@ObayKusut SEMUA tau bg,
Cm duit kn bisa mengalakan segalanya.
Saya pribadi bersyukur dia di tangkap.
Sudah beberap… https://t.co/S7IjamPVtF", semua tau bg  cm duit kn bisa mengalakan segalanya  saya pribadi bersyukur dia di tangkap  sudah beberap ,Positive
Akutu selalu percaya kalau semua org itu wajar berbuat salah dan sangat layak untuk dimaafin/dikasi kesempatan kedu… https://t.co/0e00NfkHnf,akutu selalu percaya kalau semua org itu wajar berbuat salah dan sangat layak untuk dimaafin dikasi kesempatan kedu ,Positive
Btw bupati langkat lebih kejam ya drpd tenryubito,btw bupati langkat lebih kejam ya drpd tenryubito,Negative
"@ObayKusut Sya Warga langkat bg.
Ini emng mapia di sini bg,
Penjahat yg karna duitnya bnyk bisa jdi bupati.
Dulu aj… https://t.co/hv2FPnU6h6", sya warga langkat bg  ini emng mapia di sini bg  penjahat yg karna duitnya bnyk bisa jdi bupati  dulu aj ,Positive
